         #NAME          Project      D_L    Sanders(25) Sanders(60) Sanders(100)   111-000      err      L_{IR}       err      211-202      err       L_{IR}       err      202-111      err      L_{IR}       err      312-303      err      L_{IR}       err      321-312      err       L_{IR}      err       220-211      err      L_{IR}       err      422-413      err      L_{IR}       err      523-514      err      L_{IR}       err    
      #freq(GHz)          --         --        25µm        60µm        100µm      1113.3430  1113.3430  R(100µm)   R(100µm)   752.0332   752.0332    R(100µm)   R(100µm)   987.9268   987.9268   R(100µm)   R(100µm)   1097.3648  1097.3648  R(100µm)   R(100µm)   1162.9116  1162.9116  R(100µm)    R(100µm)    1228.7888  1228.7888  R(100µm)   R(100µm)   1207.6387  1207.6387  R(100µm)   R(100µm)   1410.6181  1410.6181  R(100µm)    R(100µm)  
 #(sources list/Units)    --         Mpc       Jy          Jy          Jy         10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun   10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun  10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun
       #T_ex(K)           --         --        --          --           --        53         --         --         --         137         --         --         --         101        --         --         --         249        --         --          --        305        --         --          --          196        --         --         --         454        --         --         --         642        --         --         --      
    IRASF17207-0014       van      175.68      1.61        32.13       36.08      NaN        NaN        NaN        NaN       15.4936      1.9689    24.5471     7.3641    22.9365     3.6816    24.5471     7.3641    28.1344     4.1151     24.5471    7.3641    42.0675      5.3696   24.5471      7.3641     28.2705    7.0749     24.5471     7.3641    22.5811     6.5266    24.5471     7.3641    16.0485     5.2737    24.5471     7.3641   
        Mrk231            van      171.84      8.84        30.80       29.74      5.4782     3.2764     32.3594    6.4719     9.2740      1.2958    32.3594     6.4719    17.1360     3.5398    32.3594     6.4719    13.4212     2.1319     32.3594    6.4719    21.1299      2.2692   32.3594      6.4719     12.1686    2.8812     32.3594     6.4719    10.0387     3.4197    32.3594     6.4719     6.0997     1.5803    32.3594     6.4719   
        NGC253          HEXGAL       3.10    154.6700     967.8100   1288.1500    NaN        NaN        NaN        NaN        0.0950      0.0380     0.2754     0.0551     0.1856     0.0743     0.2754     0.0551     0.5112     0.2045      0.2754    0.0551     0.1335      0.0534    0.2754      0.0551      0.1042    0.0417      0.2754     0.0551     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        SDP.81          H-ATLAS  24104.30      NaN          NaN         NaN       NaN        NaN        NaN        NaN       22.2162      8.1590    59.6692    12.8775    32.7345    11.2064    59.6692    12.8775     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       NA.v1.144        H-ATLAS  16310.70      NaN          NaN         NaN       NaN        NaN        NaN        NaN       95.8052     48.4928   105.7398    61.6734   156.8884    90.2969   105.7398    61.6734     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
         SDP.9          H-ATLAS  10804.40      NaN          NaN         NaN       NaN        NaN        NaN        NaN       60.1436     18.9657    44.2534    16.1465    88.5068    30.2427    44.2534    16.1465     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       NB.v1.78         H-ATLAS  24782.30      NaN          NaN         NaN       NaN        NaN        NaN        NaN       66.6218     20.5508    85.8251    20.6351    97.9534    27.2888    85.8251    20.6351     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       G12.v2.30        H-ATLAS  26203.30      NaN          NaN         NaN       NaN        NaN        NaN        NaN       49.3176     18.3468   137.4328    30.3817   112.1849    30.3817   137.4328    30.3817     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       G15v2.779        H-ATLAS  35884.70      NaN          NaN         NaN       NaN        NaN        NaN        NaN      201.3555     43.5069   173.7760    35.7947   282.3336    72.0085   173.7760    35.7947     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        SDP.17b         H-ATLAS  14812.80      NaN          NaN         NaN       NaN        NaN        NaN        NaN      114.3944     37.7068   135.8805    46.7089   168.1521    50.7853   135.8805    46.7089     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       HLSJ0918         Liter    46018.80      NaN          NaN         NaN       NaN        NaN        NaN        NaN      103.4243     32.3567    83.6090    26.4204   152.0847    49.0785    83.6090    26.4204     NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       APM08279         Liter    32463.30      NaN          NaN         NaN       NaN        NaN        NaN        NaN      181.5131     26.5131   815.7892   244.7368   489.4735   101.9737   815.7892   244.7368     NaN        NaN        NaN        NaN      530.2630     61.1842   815.7892   244.7368      NaN        NaN        NaN        NaN      530.2630   142.7631   815.7892   244.7368     NaN        NaN        NaN        NaN    
